,place,location,point,lat,lon
2101,Pipe Creek (Frederiek) MD,,,,
2103,"St Gall, Hemburg Germany",,,,
2104,"St George, near Winterthur Germany",,,,
2105,"Fox Hill, Tewksbury (Hunterdon) PA",,,,
2106,"Wermeland, Sweden",,,,
2107,Ratkings Hoo,,,,
2109,"Fort St George d'Elmina, Guinea",,,,
2113,Nieuwbokswoude,,,,
2114,San Salvador and Brazil,,,,
2116,"Colesville (Colestown?) Sussex, Nj'",,,,
2117,"Ekesjoe, Sweden",,,,
2119,"Fredericksville Paris, I",,,,
2120,Fredericksville Parish (Albemarle) Va,,,,
2128,Cohansey (Cumb) NJ,,,,
2130,"Colebrook, Conn, JuIy",,,,
2135,"Frederickto, i",,,,
2136,"Nantmeal, Radnor, Wales",,,,
2149,Hopewell (Mercer) PA,,,,
2152,"Freehold and Middletown, both Dutch Ref",,,,
2155,"Westerl, i Mar",,,,
2157,"Tadmouth, Yorkshire, England",,,,
2158,"Whitmarsh, PA",,,,
2160,"Whitechurch, Shropshire, England",,,,
2161,"Siche, Sept",,,,
2162,"Sichem, North East Center (Dutchess) NY",,,,
2164,"Sharon, Gnadensee Mission",,,,
2166,Konolowa (Cumberland) PA,,,,
2168,"Little Ryder, St James, London",,,,
2175,Jefferson Coll,,,,
2180,Lower Pennsborough,,,,
2190,"Fresh Ponds, Long Island, NY",,,,
2192,"Newcastle, Pembroke, Wales",,,,
2194,"Bretton, Baden",,,,
2196,Newtown (Ulster) NY,,,,
2197,Sehoharie (Sehoharie) NY,,,,
2198,Langen Raek (Ulster) NY,,,,
2200,"Rector of Tattershall, Cheshire",,,,
2201,"Vicar of Broxbourne, Herts",,,,
2202,"Syraeuse, NY",,,,
2203,"Kriesheim, Germany",,,,
2208,Klickenberg Germany,,,,
2209,Quassick NJ,,,,
2210,"Rosendale, or Rosenthal in Ulster co",,,,
2211,Langen Rack,,,,
2216,"Helmstadt, Brunswick, Germany",,,,
2217,"Oixî London, Sept",,,,
2219,NeuCas rie (Westchester) KY,,,,
2221,"Pi\'l'KR D E WINT  Bci,i:",,,,
2222,Schaghaticoke NY,,,,
2223,Schaghiicoke íRerisselaer) NV',,,,
2226,Tran Hook,,,,
2227,"St Paul's Parish, Kent MD",,,,
2228,North Sassafras Parish (Cecil) MD,,,,
2229,Shrewsbury Parish (Kent) MD,,,,
2231,"Great Yarmouth, Norfolk County, England",,,,
2232,"Rector, Snow Hill, MD",,,,
2233,"Rector, Newbern, NC",,,,
2235,Saueon PA,,,,
2237,"Laneaster, PA",,,,
2238,Lower Maeungie (Lehigh) PA,,,,
